"Projet.Code_Decision_ANR";"Action.Edition";"Projet.Acronyme";"Projet.Partenaire.Code_Decision_ANR";"Projet.Partenaire.Est_coordinateur";"Projet.Partenaire.Nom_organisme";"Projet.Partenaire.Categorie_organisme";"Projet.Partenaire.Responsable_scientifique.Nom";"Projet.Partenaire.Responsable_scientifique.Prenom";"Projet.Partenaire.Adresse.Ville";"Projet.Partenaire.Adresse.Region";"Projet.Partenaire.Adresse.Pays"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-07";False;"INRIA Sophia Antipolis (Valbonne)";"Organismes de type EPST";"FICHARD-CARROLL";"Agnès";"Sophia Antipolis";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-09";False;"IRD Montpellier";"Organismes de type EPST";"FICHARD-CARROLL";"Agnès";"Montpellier";"Occitanie";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-10";False;"Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement";"Autres établissements (publics)";"FICHARD-CARROLL";"Agnès";"Paris";"Île-de-France";"France"
"ANR-21-SFRI-0004";2021;"UMGS";"ANR-21-SFRI-0004-08";False;"INSERM Délégation Occitanie Méditerranée";"Organismes de type EPST";"FICHARD-CARROLL";"Agnès";"Montpellier";"Occitanie";"France"
"ANR-21-SFRI-0003";2021;"GREEN";"ANR-21-SFRI-0003-04";False;"INRIA Bordeaux Sud-ouest";"Organismes de type EPST";"PANNIER";"Florence";"Talence";"Nouvelle Aquitaine";"France"
"ANR-21-SFRI-0003";2021;"GREEN";"ANR-21-SFRI-0003-03";False;"INRAE Nouvelle-Aquitaine-Bordeaux";"Organismes de type EPST";"PANNIER";"Florence";"Villenave D'Ornon";"Nouvelle Aquitaine";"France"
"ANR-21-SFRI-0003";2021;"GREEN";"ANR-21-SFRI-0003-02";False;"CNRS Aquitaine";"Organismes de type EPST";"PANNIER";"Florence";"Talence";"Nouvelle Aquitaine";"France"
"ANR-21-SFRI-0003";2021;"GREEN";"ANR-21-SFRI-0003-01";True;"Université de Pau et du Pays de l'Adour";"Universités, INSA et INP";"PANNIER";"Florence";"Pau Cedex";"Nouvelle Aquitaine";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-07";False;"INSERM Paris 13";"Organismes de type EPST";"BRISSWALTER";"Jeanick";"Paris Cedex 13";"Île-de-France";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-03";False;"CNRS Côte d'Azur (Valbonne)";"Organismes de type EPST";"BRISSWALTER";"Jeanick";"Valbonne";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-04";False;"School of Knowledge Economy and Management";"Autres écoles (privées)";"BRISSWALTER";"Jeanick";"Non renseigné";"Non renseigné";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-05";False;"IRD Marseille";"Organismes de type EPST";"BRISSWALTER";"Jeanick";"Marseille Cedex 2";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-06";False;"INRAE Centre Siège";"Organismes de type EPST";"BRISSWALTER";"Jeanick";"Paris";"Île-de-France";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-15";False;"Ecole de Cinéma, de Son, de Film d'animation";"Autres établissements (publics)";"BRISSWALTER";"Jeanick";"Nice";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-09";False;"Ecole Haute Etudes Commerciales Nord";"Autres écoles (privées)";"BRISSWALTER";"Jeanick";"Nice";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-11";False;"Fondation Université Côte d'Azur";"Fondations";"BRISSWALTER";"Jeanick";"Nice";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-14";False;"Centre Antoine Lacassagne";"Etablissements de santé";"BRISSWALTER";"Jeanick";"Nice";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-01";True;"Université Côte d'Azur";"Universités, INSA et INP";"BRISSWALTER";"Jeanick";"Nice cedex 2";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0002";2021;"UCA-GS";"ANR-21-SFRI-0002-02";False;"INRIA Sophia Antipolis (Valbonne)";"Organismes de type EPST";"BRISSWALTER";"Jeanick";"Sophia Antipolis";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-SFRI-0001";2021;"GRADUATE+";"ANR-21-SFRI-0001-01";True;"COMUE Université de Lyon";"COMUE Pôle de recherche et d'Enseignement supérieur";"";"";"Lyon Cedex 7";"Auvergne-Rhône-Alpes";"France"
"ANR-21-RHUS-0017";2021;"IMMUNOLIFE";"ANR-21-RHUS-0017-01";True;"Institut Gustave Roussy";"Etablissements de santé";"";"";"Villejuif Cedex";"Île-de-France";"France"
"ANR-21-RHUS-0016";2021;"EpCART";"ANR-21-RHUS-0016-01";True;"Institut Curie";"Fondations";"";"";"Paris Cedex 8";"Île-de-France";"France"
