Identifiant	Label	Type	Date de début	Date de fin	Budget total	Budget financé	URL	URL du project	Nombre de participant	Nom de l'appel à projet	Label de l'action	Durée	Lien vers fiche scanR	Date d'export	Contexte de recherche
INCA-2019-22	Rôle de l’axe IRE1-UBE2D3 dans la réponse immunitaire anti-tumorale : mécanismes et conséquences cliniques	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-22	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-23	Cibler la mutation de NPM1c par l’actinomycine D	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-23	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-24	Microsatellites : Polymorphismes et Hubs d’Activation transcriptionnelle dans le Sarcome d’Ewing (µPHASE)	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-24	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-25	Etude du choix des voies de réparation des cassures double-brin de l’ADN dans les lymphocytes B	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-25	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-26	Rôle de la plasticité de la méthylation des ARN ribosomiques dans les cancers du sein	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-26	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-27	Stimulation Mécanique des Cellules Souches dans la Progression Tumorale Endogène : Caractérisation et Inhibition	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-27	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-28	Impact des miRNAs sécrétés par les cellules SDHB-déficientes sur le microenvironnement tumoral et la réponse aux agents antiangiogeniques	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-28	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-29	Moduler la rigidité tumorale via CD98hc afin d’élargir la fenêtre thérapeutique anti-cancer pulmonaire	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-29	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-30	Importance de l’interaction entre le gène homéotique Cdx2 et le récepteur nucléaire des hormones thyroïdiennes TRα1 dans la détermination et la sensibilité/résistance aux traitements anticancéreux des cellules souches cancéreuses de l'intestin	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-30	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
INCA-2019-31	Nouvelles co-fonctionalités de SLX4, RTEL1 et REV3 dans le maintien de la stabilité	INCA							1				https://scanr.enseignementsup-recherche.gouv.fr/project/INCA-2019-31	2022-07-22T17:58:23.103Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22INCA%22%5D%7D%7D&query=&view=list
