"Projet.Code_Decision_ANR";"Projet.Acronyme";"Projet.Partenaire.Code_Decision_ANR";"Projet.Partenaire.Est_coordinateur";"Projet.Partenaire.Nom_organisme";"Projet.Partenaire.Categorie_organisme";"Projet.Partenaire.Responsable_scientifique.Nom";"Projet.Partenaire.Responsable_scientifique.Prenom";"Projet.Partenaire.Adresse.Ville";"Projet.Partenaire.Adresse.Region";"Projet.Partenaire.Adresse.Pays"
"ANR-05-BLAN-0159";"REPLIEMENT";"ANR-05-BLAN-0159-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR PARIS B";"Divers public";"TIMSIT";"Youri";"Paris";"Île-de-France";"France"
"ANR-05-BLAN-0159";"REPLIEMENT";"ANR-05-BLAN-0159-02";False;"UNIVERSITE DE PARIS V - RENE DESCARTES";"Laboratoire public";"DARDEL";"Frédéric";"Paris";"Île-de-France";"France"
"ANR-05-BLAN-0159";"REPLIEMENT";"ANR-05-BLAN-0159-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR PARIS B";"Divers public";"SPRINGER";"Mathias";"Paris";"Île-de-France";"France"
"ANR-05-BLAN-0158";"DROSACTINCUT";"ANR-05-BLAN-0158-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE PROVENCE CORSE";"Divers public";"LENNE";"Pierre François";"";"";"France"
"ANR-05-BLAN-0158";"DROSACTINCUT";"ANR-05-BLAN-0158-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE PROVENCE CORSE";"Divers public";"LECUIT";"Thomas";"";"";"France"
"ANR-05-BLAN-0156";"RCMCCD";"ANR-05-BLAN-0156-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR SUD";"Divers public";"KARESS";"Roger";"";"";"France"
"ANR-05-BLAN-0154";"VARHISTONES";"ANR-05-BLAN-0154-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE RHONE-AUVERGNE";"Divers public";"BOUVET";"Philippe";"";"";"France"
"ANR-05-BLAN-0154";"VARHISTONES";"ANR-05-BLAN-0154-04";False;"CENTRE EUROPEEN DE RECHERCHE EN BIOLOGIE ET EN MEDECINE - CERBM";"Divers public";"HAMICHE";"Ali";"";"";"France"
"ANR-05-BLAN-0154";"VARHISTONES";"ANR-05-BLAN-0154-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR PARIS B";"Divers public";"GRANGE";"Thierry";"";"";"France"
"ANR-05-BLAN-0154";"VARHISTONES";"ANR-05-BLAN-0154-02";False;"INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE - DELEGATION DE LYON";"Divers public";"DIMITROV";"Stefan";"";"";"France"
