NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR,MONTO
"INSTITUTO DE ECOLOGIA, A.C.",DIVERSIDAD Y EVOLUCION DE ARISTOLOCHIA SUBSECCION PENTANDRAE (ARISTOLOCHIACEAE),PUBLICO,136000
UNIVERSIDAD AUTONOMA DE NUEVO LEON,"COOPERACION BILATERIAL MEXICO-COREA ""ECO-MATERIALES EN PROCESOS FOTOCATALITICOS PARA EL DESARROLLO SUSTENTABLE""?",PUBLICO,156000
UNIVERSIDAD AUTONOMA DE NUEVO LEON,"ORGANIZACION DEL EVENTO ""THE FIFTH INTERNATIONAL WORKSHOP FOR R&D CLUSTERING AMONG MEXICO AND KOREA IN ECOMATERIALS PROCESSING"" EN LA CIUDAD DE MONTERREY, NUEVO LEON, MEXICO",PUBLICO,450000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,DESARROLLO DE VECTORES BASADOS EN EL VIRUS HERPES SIMPLEX QUE EXPRESEN PROTEINAS NO-ESTRUCTURALES DEL VIRUS DEL DENGUE Y SU USO PARA EL ESTUDIO DE LA BIOLOGIA DEL VIRUS DEL DENGUE.,PUBLICO,108000
UNIVERSIDAD AUTONOMA DE NUEVO LEON,APPLICATION OF MEAN-SQUARE POLYNOMIAL FILTERS AND FINITE-TIME CONVERGENT REGULATORS TO FAULT DETECTION AND ISOLATION IN NONLINEAR SYSTEMS.,PUBLICO,204000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,PROYECTO? DENOMINADO: NUEVOS CATALIZADORES QUIRALES PARA LA SINTESIS DE G-LACTONAS BICICLICAS.,PUBLICO,168000
"CENTRO DE INVESTIGACION EN QUIMICA APLICADA, A.C.",NUEVOS MATERIALES HIBRIDOS BASADOS EN POLIESTERES BIODEGRADABLES Y NANOPARTICULAS DE ZNO: PROPIEDADES BACTERICIDAS Y DE PROTECCION UV,PUBLICO,128000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,PUESTA A PUNTO DE UN SISTEMA DE MICROFLUIDOS PARA LA DETECCION Y ANALISIS DE OCRATOXINA EN MUESTRAS AGROALIMENTARIAS (ANOCHRA),PUBLICO,128000
INSTITUTO MEXICANO DEL PETROLEO,"SINTESIS DE NUEVOS COMPUESTOS ANTIESPUMANTES LIBRES DE SILICIO Y DISENO DE FORMULACIONES ANTIESPUMANTES EN BASE A POLIETERES, ACRILICOS Y ESTERES DE ACIDOS GRASOS",PUBLICO,128000
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,?PROPIEDADES ESPINORIALES DE CONDENSADOS EXCITON-POLARITON MODULADOS ACUSTICAMENTE?,PUBLICO,136000
UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,ESTUDIOS TEORICOS DE LAS FORMAS ABUNDANTES DE MERCURIO EN EL AMBIENTE: SOLVATACION Y BIODISPONIBILIDAD DE LAS FORMAS TOXICAS. (CONTINUACION DE 189035).,PUBLICO,108000
CENTRO DE INVESTIGACION CIENTIFICA DE YUCATAN,SINTESIS DE MATERIALES COMPUESTOS A BASE DE POLIURETANOS BIODEGRADABLES Y NANOPARTICULAS BIOACTIVAS PARA REGENERACION OSEA DENTAL (CONTINUACION DEL PROYECTO 174617).,PUBLICO,46000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,SEGUMIENTO DE UNA PARED O DE UN FONDO MARINO POR VEHICULOS SUBMARINOS PEQUENOS CON REFERENCIA DE VISION ATIFICIAL,PUBLICO,80000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,ESTUDIO DE LA FUNCION DE LAS ISOFORMAS DE LA DISTROFINA DP71 EN TEJIDOS NEURALES Y PERIFERICOS,PUBLICO,184500
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"ESTABLISHMENT OF SUPER-RESOLUTION IMAGING TECHNIQUES IN THE LABORATORIO NACIONAL DE MICROSCOPIA AVANZADA, UNAM",PUBLICO,90000
