NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR ,MONTO
SANCHEZ SA DE CV,ESCALAMIENTO  A NIVEL PILOTO DE UNA RESINA SUSTENTABLE  A PARTIR  DE BREA DE PINO  PARA  FORMULAR TINTAS LIQUIDAS BASE AGUA Y BASE SOLVENTE,QUIMICA,639516
PRO PHARMA RESEARCH ORGANIZATION SA DE CV,SISTEMA DE FARMACOVIGILANCIA ACTIVA: UNA MEDIDA EFECTIVA PARA MEJORAR LA EFICACIA Y SEGURIDAD DE LOS MEDICAMENTOS,SALUD,6605000
AEROVIAS DE MEXICO SA DE CV,"DTI EN PROCESOS DE SERVICIOS AERONAUTICOS PARA INTERCOMUNICACION AUMENTADA EN TIEMPO REAL CON ESTACIONES CENTRALES Y REMOTAS (KIOSKOS MOVILES, CONDICIONES EXTREMAS). -REFORZAMIENTO DE CAPACIDADES EN MATERIALES COMPUESTOS PARA AVIONES BOEING 787-",TECNOLOGIAS DE LA INFORMACION,5285654
SIGN CAL SA DE CV,PELICULA PLASTICA BLANCA DE PROTECCION DE SUPERFICIES PARA EL SECTOR AUTOMOTRIZ,AUTOMOTRIZ,6548644
KRAFT FOODS DE MEXICO S DE RL DE CV,INVESTIGACION Y APLICACION DE TECNOLOGIAS INNOVADORAS PARA OPTIMIZAR PROCESOS EN LA ELABORACION DE PRODUCTOS DE QUESO,ALIMENTOS,5859623
KRAFT FOODS DE MEXICO S DE RL DE CV,INVESTIGACION Y PROSPECCION TECNOLOGICA DE ALTERNATIVAS NO CONVENCIONALES PARA OPTIMIZAR EL DESARROLLO DE NUEVOS SABORES Y  PRODUCTOS FUNCIONALES EN CARAMELOS Y GOMAS DE MASCAR,ALIMENTOS,4254335
LABORATORIOS SILANES SA DE CV,DESARROLLO DE NANOSISTEMAS BIOTECNOLOGICOS A BASE DE PEPTIDOS PARA LA INTOXICACION POR VENENO DE ALACRAN,FARMACEUTICA,1571538
EXPERTPLAN CONSULTING & CONSTRUCTION SA DE CV,"INTEGRACION TECNOLOGICA DE NUEVOS PROCESOS PARA EL DESARROLLO DEL ¨ARGOS¨, TREN LIGERO Y LIMPIO PARA TRANSPORTE MASIVO PUBLICO URBANO","OPTICA, EQUIPOS Y SISTEMAS",14971061
TECNOLOGIAS EOS SA DE CV,DESARROLLO DE SISTEMA DE TELEMETRIA Y CONTROL DEL SUMINISTRO DE ENERGIA ELECTRICA DOMESTICA ENFOCADO A REDUCCION DE PERDIDAS,ENERGIA,16904597
NOVARTIS FARMACEUTICA SA DE CV,"ESTUDIO FASE III, MULTICENTRICO, ALEATORIZADO, DOBLE CIEGO, CONTROLADO CON PLACEBO, PARA EVALUAR LA EFICACIA, SEGURIDAD Y TOLERABILIDAD DE SERELAXINA, UNICO MEDICAMENTO A NIVEL MUNDIAL QUE REDUCE MORTALIDAD EN CASOS DE INSUFICIENCIA CARDIACA AGUDA",SALUD,849894
CENTRO PARA LA INNOVACION LA CIENCIA Y LA TECNOLOGIA DEL VALLE DE MEXICO SA DE CV,"PLATAFORMA DISRUPTIVA PARA DETECCION Y SEGUIMIENTO A TALENTOS, MEDIANTE UTILIZACION INNOVADORA DE HERRAMIENTAS LUDICAS EDUCATIVAS",TECNOLOGIAS DE LA INFORMACION,6500000
MICROBIOTECNOLOGIA APLICADA DOS RIOS SA DE CV,SISTEMA DE MEJORAMIENTO DE BIOMASA DE MICROORGANISMOS UNICELULARES USANDO GASES DE EFECTO INVERNADERO EN FOTOBIOREACTORES,BIOTECNOLOGIA,14070103
NOVARTIS FARMACEUTICA SA DE CV,"ESTUDIO OBSERVACIONAL, PROSPECTIVO, FASE IV,  DE FARMACOVIGILANCIA INTENSIVA EN PACIENTES MEXICANOS, CON FIBROSIS QUISTICA, TRATADOS CON TOBRAMICINA CON PULMOESFERAS EN NEBULIZADOR DE NUEVA GENERACION -MEJORA SIGNIFICATIVA EN SU CALIDAD DE VIDA-",SALUD,476830
VIVOXIE S DE RL DE CV,"PLATAFORMA DE VISION ARTIFICIAL Y REALIDAD VIRTUAL CON INTERFAZ HAPTICA PARA E-LEARNIG, E-TRAINING Y VIDEOJUEGOS",ELECTRONICA,6231160
PSICOFARMA SA DE CV,EFICACIA DE UN NUEVO MEDICAMENTO COMO MONOTERAPIA PARA EL CONTROL DE LAS CRISIS PARCIALES,FARMACEUTICA,2184850
GLOBAL BIOTHERAPEUTICS SA DE CV,ESTUDIO PRECLINICO DE UN VECTOR DE EXPRESION DE INSULINA PARA EL TRATAMIENTO DE LA DIABETES,SALUD,4474354
PRO PHARMA RESEARCH ORGANIZATION SA DE CV,USO DE FARMACOVIGILANCIA EN EVALUACION DE MARCADORES DE TOXICIDAD POR 5-FLUOROURACILO EN PACIENTES ONCOLOGICOS,SALUD,5020000
TECNOLOGIAS DAAT SA DE CV,"ESCALAMIENTO Y CONSOLIDACION DE UN SISTEMA PARA EVALUACION TOXICOLOGICA DE NANOMATERIALES BASADO EN CELULAS PLURIPOTENTES CON APLICACIONES COMERCIALES INMEDIATAS Y DE LARGO PLAZO (IPSENSOR, ETAPA 2)",SALUD,8995000
TECNOLOGIAS AGRIBEST SA DE CV,DESARROLLO DE UN PROTOTIPO A BASE DE MICRO Y NANO ENCAPSULADOS DE UN PRODUCTO PARA LA NUTRICION Y PROTECCION DE CULTIVOS AGRICOLAS.,BIOTECNOLOGIA,10072329
BOCAR SA DE CV,INVESTIGACION Y DESARROLLO DE NUEVAS LINEAS DE PRODUCTO PARA LA INDUSTRIA AUTOMOTRIZ.,AUTOMOTRIZ,5812708
INSTITUTO BIOCLON SA DE CV,DESARROLLO Y CARACTERIZACION DE UN NUEVO FABOTERAPICO PARA USO HUMANO CONTRA EL ENVENENAMIENTO DE ALACRANES DE IMPORTANCIA MEDICA EN AFRICA Y MEDIO ORIENTE.,BIOTECNOLOGIA,4518100
ALTAVISTA SOFTWARE S DE RL DE CV,SUITE DE CANALES ELECTRONICOS (BANCA POR INTERNET Y BANCA MOVIL) PARA ENTIDADES FINANCIERAS MEDIANAS Y PEQUENAS,TECNOLOGIAS DE LA INFORMACION,6307500
LABORATORIOS SILANES SA DE CV,VALIDACION DE LA  EFICACIA DE  FRUCTANOS RAMIFICADOS DE AGAVE EN EL CONTROL DEL METABOLISMO LIPIDICO USANDO UN SISTEMA EX VIVO.,SALUD,1805075
ENLACES Y COMUNICACIONES AVANZADAS SA DE CV,"SOLUCION DE INTEGRACION ELECTRONICA DE NEGOCIOS PARA LA EMPRESA MEDIANA Y PEQUENA
(PYME B2B)",TECNOLOGIAS DE LA INFORMACION,3195839
GOVERNMENT SOLUTIONS MEXICO SA DE CV,PLATAFORMA TECNOLOGICA PARA LA AUTOADMINISTRACION DE LA GESTION ESCOLAR PARA INSTITUCIONES EDUCATIVAS (FASE PILOTO),TECNOLOGIAS DE LA INFORMACION,3251620
ARROBA INGENIERIA SA DE CV,PREVENCION DE LA DIABETES MELLITUS TIPO II MEDIANTE DISPOSITIVOS ELECTRONICOS AUTOMATIZADOS DE DETECCION TEMPRANA DE RIESGO,INSTRUMENTACION ELECTROMEDICA,2165000
KU-BO. FINANCIERO SAPI DE CV SOFOM ENR,CREDIT SCORE PARA MICROEMPRESARIOS Y ALGORITMO PARA GENERAR MICROPORTAFOLIOS DE INVERSION.,TECNOLOGIAS DE LA INFORMACION,877500
GLATTS KERAMIK SA DE CV,DESARROLLO DE MATERIALES A BASE DE TERMOPLASTICOS  RECICLABLES PARA ELABORACION DE PISOS DECORATIVOS,PLASTICOS,4055566
S&C CONSTRUCTORES DE SISTEMAS SA DE CV,SISTEMA MULTIVARIABLE DE ALTA TECNOLOGIA PARA SEGURIDAD VEHICULAR,TECNOLOGIAS DE LA INFORMACION,2542900
CONSEJO DE ASISTENCIA AL MICROEMPRENDEDOR SA DE CV S.F.P.,"CREACION DE SUCURSALES MOVILES QUE PERMITAN A POBLACIONES MARGINADAS Y DE ESCASOS RECURSOS RECIBIR EDUCACION FINANCIERA Y ACCEDER A UN SISTEMA DE FINANCIAMIENTO Y AHORRO, PARA SU DESARROLLO PERSONAL.",TECNOLOGIAS DE LA INFORMACION,187563
ANTAL TECNOLOGIA SA DE CV,MODELO VIRTUAL DE ADMINISTRACION DE PROYECTOS Y SERVICIOS,TECNOLOGIAS DE LA INFORMACION,544968
TRANSPORTADORA DE ALIMENTOS SA DE CV,"DISENO E IMPLEMENTACION DE SISTEMA DE MONITOREO, AUTOMATIZACION Y CONTROL EN TIEMPO REAL DE PARAMETROS FISICOQUIMICOS Y MICROBIOLOGICOS DE LECHE CONCENTRADA PARA LA ELABORACION DE DERIVADOS LACTEOS Y POSTRES",ALIMENTOS,2849016
RANCHO LUCERO S DE PR DE RL,"OPTIMIZACION DE LOS PROCESOS DE SEPARACION PARA LA OBTENCION DE SUERO Y CREMA DE LECHE, CONCENTRADOS DE  PROTEINAS Y CASEINA EN RANCHO LUCERO",AGROINDUSTRIAL,1438796
INGENIERIA Y MANUFACTURAS ELECTRICAS SA DE CV,DISENO Y EVALUACION DEL AISLAMIENTO ELECTRICO DE TRANSFORMADORES CLASE 1.2KV A 34.5KV,ELECTRICA,575262
REGIO MARMOL SA DE CV,ANALISIS DIMENSIONAL Y OPTIMIZACION DE LINEA DE MOLIENDA-CLASIFICACION DE CARBOTANO DE CALCIO TECNICO,MINERIA,6342160
GLOBAL ECITON SA DE CV,PLATAFORMA DE SEGUIMIENTO ORBE KULTIVA CON APOYO EN GPS  Y RFID,TECNOLOGIAS DE LA INFORMACION,1821931
SERVICIOS DE TI DE DURANGO SA DE CV,DISENO Y PERFECCIONAMIENTO DE UNA RED DIGITAL SIGNAGE PARA COMUNICACION AUDIOVISUAL EN EXTERIORES.,TECNOLOGIAS DE LA INFORMACION,1179100
COMERCIALIZADORA DE LACTEOS Y DERIVADOS SA DE CV,"DISMINUCION EN EL CONSUMO DE AGUA PARA PROCESO DE ULTRAPASTEURIZACION, MEDIANTE EL DISENO, CONSTRUCCION Y PUESTA EN MARCHA DE SISTEMAS DE RECUPERACION PARA AGUA DE ENFRIAMIENTO, EN HOMOGENIZADORES DE LECHE",ALIMENTOS,1625843
EMPACADORA FRAPE SA DE CV,TENDON Y COLA DE RES ESTERILIZADOS LISTOS PARA SU CONSUMO MEDIANTE UN PROCESO INNOVADOR QUE MANTIENE TODAS LAS PROPIEDADES FISICAS Y SENSORIALES DE ESTOS PRODUCTOS PARA EXPORTARLOS AL MERCADO DE COREA DEL SUR.,ALIMENTOS,2705186
EMPACADORA FRAPE SA DE CV,ALIMENTO ESTERILIZADO DE ALTO CONTENIDO NUTRIMENTAL ASEQUIBLE LIBRE DE CONSERVADORES LISTO PARA SU CONSUMO PORCIONADO Y EMPACADO PARA SER UTILIZADO DE MANERA OPTIMA EN CONTINGENCIAS AMBIENTALES Y/O EN ZONAS DE ALTA MARGINACION.,ALIMENTOS,1176292
EMPACADORA FRAPE SA DE CV,LAMINADOS DE CARNE DE RES REESTRUCTURADA ESTERILIZADA LIBRE DE CONSERVADORES Y LISTA PARA SU CONSUMO A PARTIR DE MATERIAS PRIMAS NO CONVENCIONALES DE BAJO COSTO,ALIMENTOS,4108918
BM SOLUTIONS SA DE CV,"PLATAFORMA DE ALTA INTERCONECTIVIDAD EN LA NUBE PARA ADMINISTRACION DE OPERACIONES Y PROCESOS, BASADO EN UN ERP CON CAPACIDAD DE ENLACE CON SISTEMAS SATELITES, BASE DE DATOS, SISTEMAS OPERATIVOS Y TODO TIPO DE DISPOSITIVOS.",TECNOLOGIAS DE LA INFORMACION,2801760
BIOENERGIA FORESTAL SA DE CV,PLANTA GENERADORA DE ENERGIA ELECTRICA DE 10 MW/E DE CAPACIDAD A TRAVES DE INNOVAR EL SISTEMA DE COMBUSTION PARA PODER UTILIZAR LA BIOMASA FORESTAL COMO BIOCOMBUSTIBLE LIMPIO EN LA CIUDAD DE DURANGO DGO. (TERCERA FASE),ENERGIA,3375736
LABORATORIOS AGROENZYMAS SA DE CV,"DESARROLLO DE NUEVOS PRODUCTOS Y NUEVAS APLICACIONES EN BIORREGULADORES PARA EL DESARROLLO VEGETAL, PARTIENDO DE NUEVOS INGREDIENTES.",QUIMICA,7130065
ARCMAQ SA DE CV,PROTOTIPADO DE PLACAS FENOLICAS MEDIANTE ELECTROEROSION Y RECUBRIMIENTO DE PELICULA HIDROFOBICA,METALMECANICA,4760348
MAQUINARIA JERSA SA DE CV,DESARROLLO DE CABINAS PARA FUMADORES CON INNOVADOR SISTEMA PARA PURIFICACION DE AIRE,MAQUINARIA INDUSTRIAL,1539136
LANDSTEINER SCIENTIFIC SA DE CV,DESARROLLO DE COMBINACIONES FARMACEUTICAS INNOVADORAS DE ANTIPSICOTICOS: MEDICINA PERSONALIZADA SUSTENTADA EN ANALISIS GENOMICO,BIOTECNOLOGIA,4712368
TRAMES SA DE CV,"TRIBOTEC ETAPA 2:  PAQUETE TECNOLOGICO PARA EL ESCALAMIENTO DE TECNOLOGIA A BASE DE PLASMAS PARA MEJORAR EL DESEMPENO TRIBOLOGICO DE COMPONENTES DE MAQUINARIA CON APLICACIONES EN EL SECTOR AUTOMOTRIZ, AERONAUTICO, BIOMEDICO Y ENERGETICO.",METALMECANICA,6833960
GRUPO ARZALUZ SA DE CV,CONSOLIDACION DEL CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO PARA LA INDUSTRIA CUNICOLA,BIOTECNOLOGIA,4292500
CI TECHNIFOAM SA DE CV,PLANTA PILOTO SUSTENTABLE PARA LA GENERACION DE ENERGIA TERMICA CON RESIDUOS DE ESPUMAS POLIOLEFINICAS,QUIMICA,5444586
GRUPO QUIMICO INDUSTRIAL DE TOLUCA SA DE CV,PROTOTIPO DE MATERIALES COMPUESTOS FABRICADOS A PARTIR DE RESINA POLIESTER INSATURADO DISPERSABLE EN AGUA,QUIMICA,3139250
GRUPO QUIMICO INDUSTRIAL DE TOLUCA SA DE CV,PROTOTIPO DE RESINA ALCIDICA LIBRE DE COMPUESTOS ORGANICOS VOLATILES,QUIMICA,2655500
POLIOLES SA DE CV,DESARROLLO DE NUEVOS INHIBIDORES DE CRISTALIZACION DE PARAFINAS CON DESEMPENO SUPERIOR EN DUCTOS DE PETROLEO,QUIMICA,3533108
SIMIL CUERO PLYMOUTH SA DE CV,"DISENO Y DESARROLLO DE PROTOTIPOS TEXTILES, SUSTITUTOS DE LA PIEL, DE ALTO DESEMPENO, RESISTENTES AL RAYADO PARA SATISFACER LA DEMANDA DE LOS SECTORES INDUSTRIALES DE TAPICERIA, MARROQUINERIA, CUERO Y CALZADO.",TEXTIL,10956810
ACCESOS SIN LIMITE SA DE CV,PROTOTIPO GRUA PORTATIL PARA TRANSFERENCIAS DE PERSONAS CON DISCAPACIDAD MOTRIZ,METALMECANICA,1018082
INAMBTEC SA DE CV,TECNOSOLIDOS URBANOS AMIGABLES CON EL MEDIO AMBIENTE,SERVICIOS,10460853
SICOR MEXICO SA DE CV,OPTIMIZACION DE PROCESOS,QUIMICA,6250254
RESOURCE SEEDS INTERNATIONAL S DE RL DE CV,"DESARROLLO DE NUEVAS VARIEDADES DE TRIGOS  (TRITICUM SPP) MEDIANTE EL MEJORAMIENTO GENETICO TRADICIONAL PARA LA OBTENCION DE GENOTIPOS CON ALTO RENDIMIENTO, AMPLIA ADAPTACION, RESISTENCIA A PATOGENOS, BIOMASA  Y BUENA CALIDAD NUTRICIONAL E INDUSTRIAL",AGROINDUSTRIAL,1687500
GOPLAS SA DE CV,DESARROLLO DE ENVASES INNOVADORES DE PLASTICO CON BARRERA COMO SUSTITUTO DE LATAS MECANICAS,PLASTICOS,12528907
RHEOMOD DE MEXICO SAPI DE CV,GENERACION DE NUEVOS ADITIVOS QUE PERMITAN INCORPORAR POLIMEROS BIODEGRADABLES Y BIOBASADOS EN LA INDUSTRIA AUTOMOTRIZ.,PLASTICOS,659000
ESTERIPHARMA SA DE CV,NUEVA TECNOLOGIA Y GERMICIDA APLICADOS AL MAIZ PARA REDUCIR LA EXPOSICION A TOXINAS CANCERIGENAS PARA EL GANADO Y EL HUMANO,SALUD,3715960
KRISMAR COMPUTACION TOLUCA S DE RL DE CV,PLATAFORMA EDUCATIVA KRISMAR PARA HISTORIA Y GEOGRAFÞA,TECNOLOGIAS DE LA INFORMACION,2911768
ETXE DISENO SA DE CV,"CONCEPTUALIZACION, DESARROLLO Y VALIDACION DE VEHICULO VULAR AZKAR 2017 - INNOVACION DISRUPTIVA PARA CAMBIO DE PARADIGMAS TECNOLOGICOS",AUTOMOTRIZ,10489370
E-BLUE SA DE CV,ESPACIO DIGITAL PARA EL APRENDIZAJE AUTONOMO META SPACE,SERVICIOS,2913330
RESORTES Y PARTES SA DE CV,PROYECTO INTEGRAL DE REPOSICIONAMIENTO  ESTRATEGICO COMPETITIVO MEDIANTE LA CONSOLIDACION TECNOLOGICA DE PRODUCTOS Y PROCESOS INNOVADORES DE MANUFACTURA AVANZADA.  PRESCO ETAPA 5,METALMECANICA,6880499
NEW WORLD IMPORTERS SA DE CV,APROVECHAMIENTO DE FIBRAS NATURALES DE AGAVE Y COCO PARA PRODUCIR AGENTE NUCLEANTE TIPO BETA Y EL DESARROLLO E IMPLEMENTACION DE PROCESO ESPECIALIZADO DE MOLDE DE COMPOSITO POLIPROPILENO-FIBRAS,PLASTICOS,2034750
GRUPO QUIMICO INDUSTRIAL DE TOLUCA SA DE CV,DESARROLLO PARA LA REGENERACION DE ACIDO TEREFTALICO Y ETILENGLICOL A PARTIR DE PET DE DESECHO,QUIMICA,3470750
COMERCIAL MEXICANA DE PINTURAS SA DE CV,DESARROLLO DE UNA PLATAFORMA TECNOLOGICA DE BAJO IMPACTO AMBIENTAL PARA LA REFORMULACION DE RECUBRIMIENTOS BASE SOLVENTE A PRODUCTOS BASE AGUA,PETROQUIMICA,4251252
MANE MEXICO SA DE CV,"DESARROLLO DE NUEVOS SABORES INNOVADORES PARA BEBIDAS, CONFITERIA PRODUCTOS LACTEOS, CARNICOS Y LA ENCAPSULACION DE FRAGANCIAS PARA EL ASEO PERSONAL Y EL HOGAR.",ALIMENTOS,12225757
COMEX INDUSTRIAL COATINGS SA DE CV,"DESARROLLO VANGUARDISTA DE RECUBRIMIENTOS ANTICORROSIVOS DE ALTO DESEMPENO, BASADOS EN MATERIALES AVANZADOS: ETAPA 2.",PETROQUIMICA,2361469
BAMBUTERRA SAPI DE CV,DESARROLLO DEL PRODUCTO BAMBOOWALL  COMPONENTES MODULARES PREFABRICADOS CON BAMBU PARA MUROS ESTRUCTURALES,CONSTRUCCION,3199440
SIGNA SA DE CV,DESARROLLO TECNOLOGICO QUIMICO ANALITICO CON ESTUDIO DE ESCALAMIENTO PRODUCTIVO DE ACTIVOS FARMACEUTICOS GENERICOS ALTA POTENCIA,FARMACEUTICA,10746446
LARIAN TECHNOLOGIES SA DE CV,NANOBIOTECNOLOGIA PARA PROCESOS DE REGENERACION DE TEJIDOS: USO DE MOLECULAS NATURALES EXTRAIDAS DE PLANTAS MEDICINALES Y NANOPARTICULAS METALICAS PARA REGENERACION EPITELIAL ACELERADA: NANOCIC,BIOTECNOLOGIA,6895350
HAKKEN ENTERPRISE SA DE CV,PROYECTO DE ESCALAMIENTO DE TECNOLOGIA PARA LA DETECCION DE CONDICIONES DE PREDISPOSICION GENETICA Y ANEUPLOIDIAS EN EMBRIONES HUMANOS ACCU23FAST,BIOTECNOLOGIA,7132800
EDITORIAL ESFINGE S DE RL DE CV,DISENO Y CONSOLIDACION DE UN PILOTO PARA EL DESARROLLO TECNOLOGICO DEL ENTORNO EDUCATIVO DIGIAL. SIMPLE,TECNOLOGIAS DE LA INFORMACION,4500000
UNILEVER MANUFACTURERA S DE RL DE CV,"EXTRACTION YIELDS ADES LERMA. INNOVACION EN EL PROCESO DE EXTRACCION DE PROTEINA DE SOYA CON ALTA PUREZA, UNICO EN SU TIPO.",ALIMENTOS,5452081
SIGMA ALIMENTOS CENTRO SA DE CV,"OPTIMIZACION DE UN PROCESO DE SALCHICHAS, MEDIANTE EL DESARROLLO DE METODOLOGIAS Y TECNOLOGIA PROTOTIPO BASADAS EN TECNICAS REOLOGICAS, OPTICAS Y OTRAS ANALIZADAS PARA LA MEDICION EN LINEA DE VARIABLES CRITICAS",ALIMENTOS,7805838
T.F. VICTOR SA DE CV,CELULA DE MANUFACTURA DE AUTOPARTES: JUNTAS DE CABEZA MLS,AUTOMOTRIZ,3500000
DESARROLLO INNOVADOR DE ALIMENTOS ESPECIALES SA DE CV,INNOVACION PARA LA CONSERVACION DE ALIMENTOS BAJO UN PROCESO DE ESTERILIZADO,ALIMENTOS,4035309
LABORATORIOS SILANES SA DE CV,DESARROLLO DE PLATAFORMA TECNOLOGICA CONTENIENDO UNA BIGUANIDA EN COMBINACION CON DIVERSOS FARMACOS PARA EL TRATAMIENTO DE ENFERMEDADES CRONICO DEGENERATIVAS,SALUD,2708410
LABORATORIOS SILANES SA DE CV,DESARROLLO DE MEDICAMENTOS DE LIBERACION MODIFICADA PARA MEJORAR LA ADMINISTRACION DE FARMACOS A TRAVES DE LIPOSOMAS Y MATRICES POLIMERICAS,FARMACEUTICA,3223681
OFISISTEMAS PARADIGMA SA DE CV,PROTOTIPO DE SISTEMA DE SEGURIDAD ANTI-BLOQUEO PARA SISTEMAS DE RASTREO SATELITAL,TELECOMUNICACIONES,1735000
MANUFACTURERA DE CIGUENALES DE MEXICO SA DE CV,"DISENO Y DESARROLLO DE UN SISTEMA DE MAQUINADO PARA REDUCIR AFECTACIONES SUPERFICIALES Y MECANICAS PRODUCIDAS POR LAS VIBRACIONES INHERENTES AL PROCESO DE DESBASTE EN CIGUENALES, A TRAVES DEL ESTUDIO DEL SISTEMA PIEZA-HERRAMIENTA-MAQUINA. ETAPA 1 DE 3",AUTOMOTRIZ,4367790
GRUPO INDUSTRIAL BLOMER SA DE CV,LABORATORIO DE PROTOTIPOS DE COMPONENTES EN BASE A METALURGIA DE POLVOS. ETAPA 1: APLICACIONES DE COMPACTACION VIBRATORIA Y SINTERIZADO EN LA INDUSTRIA AUTOMOTRIZ Y AEROESPACIAL.,MAQUINARIA INDUSTRIAL,11267931
UNILEVER MANUFACTURERA S DE RL DE CV,"DESARROLLO DE INGENIERIAS E IMPLANTACION DE MEJORAS A LOS SISTEMAS DE ILUMINACION DE LAS AREAS DE MANUFACTURA DE ALIMENTOS Y DE HELADOS EN TULTITLAN, EN CUMPLIMIENTO DE NOM-025-STPS/2008, CON IMPACTO EN SALUD OCUPACIONAL Y AHORROS DE CONSUMO ELECTRICO",ELECTRICA,2113433.57
RECUBRIMIENTOS TEXTURIZADOS SA DE CV,DESARROLLO DE SISTEMAS SUSTENTABLES A BASE DE DISPERSIONES ECOLOGICAS CEMENTICIAS FLEXIBLES CON POLIMEROS MODIFICADORES LIBRES DE VOC NO TOXICAS Y NO CONTAMINANTES PARA SELLAR Y CONSERVAR AGUA POTABLE EN ESTRUCTURAS DE ALMACENAJE CONDUCCION Y TRATAMIENTO,QUIMICA,3003625
INTERQUIM SA DE CV,"INVESTIGACION Y DESARROLLO DE NUEVO PROCESO TECNOLOGICO CON BASE EN SINTESIS QUIMICA, SUSTITUYENDO LA ETAPA DE HIDROGENACION POR H2(GAS) POR UN DONADOR DE HIDROGENO; PARA LA OBTENCION DE  ZILPATEROL, INDUSTRIA FARMACEUTICA AGROPECUARIA; PATENTABLE",FARMACEUTICA,5715320
QUIMIR SA DE CV,"PROCESO Y PRUEBAS PILOTO PARA OBTENCION DE SALES DE FOSFATOS GRADO ALIMENTICIO Y TECNICO, CON INNOVACIONES EN RECUPERACION DE INSUMOS, FILTRADO, PURIFICACION, DETECCION DE METALES Y AHORRO DE ENERGIA PARA MERCADO DE DETERGENTES Y ADITIVOS ALIMENTICIOS.",QUIMICA,8709845
HLS GROUP SA DE CV,WMS HLS LOGISTICS (WAREHOUSE MANAGEMENT SYSTEM HIGH LEVEL SOFTWARE LOGISTICS),TECNOLOGIAS DE LA INFORMACION,775800
EMIFARMA SA DE CV,"IDT DE BIOPOLIMEROS NANOTECNOLOGICOS Y SISTEMAS FUNCIONALES DE LIBERACION SOSTENIDA (1-3 MESES);  APLICACION EN SUSPENSIONES INYECTABLES DE PRINCIPIOS ACTIVOS,  ESTRUCTURA PEPTIDICA, PARA EL TRATAMIENTO DE ENFERMEDADES ONCOLOGICAS HORMONO-DEPENDIENTES",SALUD,6741000
PRODUT CASTING SA DE CV,DESARROLLO DE UN PROCESO PARA MIGRAR PIEZAS COMPLEJAS DE FUNDICION DE ALUMINIO DE MOLDEO EN ARENA A MOLDEO HIBRIDO,METALURGIA,2399000
PLASTIC TEC SA DE CV,DISENO Y DESARROLLO DE NUEVOS PRODUCTOS PARA INTERIORES AUTOMOTRICES MEDIANTE EL PROCESO IMD-PRO,AUTOMOTRIZ,1999500
TECNICA MEDICAL SA DE CV,DESARROLLO DE UNA EXTRUSORA AUTOMATIZADA CAPAZ DE INCORPORAR NANOPARTICULAS ANTIMICROBIANAS EN TUBERIA FLEXIBLE PARA APLICACIONES MEDICAS O QUIRURGICAS.,MAQUINARIA INDUSTRIAL,3759751
INTEGRACION DE SISTEMAS EMPRESARIALES SA DE CV,CONSTRUCCION DE PROTOTIPO PARA LA MEDICION DE BILIRRUBINA TRANSCUTANEA EN NEONATOS CON BASE DE CONOCIMIENTO PARA LA DISCRIMINACION DE LA COLORACION DE LA PIEL.,ELECTRONICA,1683975
SOLUCIONES INTEGRALES RFID SA DE CV,PORTALES SERIALES PARA SOLUCIONES INTEGRALES EN TECNOLOGIA DE IDENTIFICACION POR RADIOFRECUENCIA PARA CENTROS LOGISTICOS DE ALTA TRANSACCIONALIDAD,TELECOMUNICACIONES,4937990
AVANGARD MEXICO SA DE CV,INVESTIGACION Y DESARROLLO TECNOLOGICO PARA IDENTIFICAR LAS DIFERENTES CARACTERISTICAS Y PROPIEDADES TECNICAS EN ENVASES DE PET POST-CONSUMO.,PLASTICOS,1535000
LABORATORIO TECNICO EPS SA DE CV,DESARROLLO DE DISPOSITIVOS DE PRUEBAS PARA EL APOYO EN LA INDUSTRIA AUTOMOTRIZ EN LAS AREAS DE ELASTOMEROS Y PLASTICOS.,AUTOMOTRIZ,1882919
QUIMIFEN DE MEXICO SA DE CV,DESARROLLO DE PROCESOS INDUSTRIALES PARA LA FABRICACION DE BUTIL HIOSCINA BROMURO A PARTIR DE PLANTAS DEL GENERO DATURA,FARMACEUTICA,1298750
ROLL OUT AND DISPLAY SA DE CV,DISENO Y DESARROLLO DE MESA PLEGABLE DE DEMOSTRACION Y VENTA DE PRODUCTOS DE CONSUMO MASIVO.,METALURGIA,11287500
CARTONERA PLASTICA SA DE CV,DISENO Y GENERACION DE HERRAMENTALES PROTOTIPO PARA CREAR MICROPERFORACIONES Y/O SELLADO PERIMETRAL,PLASTICOS,3581347
CENTRO DE INVESTIGACION TECNOLOGICA FQ SA DE CV,DESARROLLO DE FOTOCATALIZADORES BASE BISMUTO PARA DEGRADACION DE DISRUPTORES ENDOCRINOS,QUIMICA,1544931
INDUSTRIAS SAN BERNARDINO SA DE CV,TECNOLOGIA DE MANUFACTURA PARA LA PRODUCCION CONTINUA DE UN ROTOVATOR AGRICOLA,TECNOLOGIAS DE LA INFORMACION,5978560
CALIDAD E INNOVACION EN EXTRUSION Y MANUFACTURA SA DE CV,DISENO Y FABRICACION DE MOLDES Y DADOS DE PRECISION MEDIANTE MANUFACTURA ADITIVA Y MAQUINADOS DE ALTA VELOCIDAD,PLASTICOS,5794640
AXALTA COATING SYSTEMS MEXICO S DE RL DE CV,DISENO DE PROTOTIPO PARA MANUFACTURA DE PINTURA EN UN PROCESO CONTINUO.,QUIMICA,3290250
