Sujeto de Apoyo,Fondo  ,Monto Aprobado
ELMECA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,291,422"
"LANMICROSYSTEMS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,423,656"
TECNOLOGIA BAJO EL SOL S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,004,002"
"COMERCIALIZADORA AXENTEC, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,817,500"
GESTION TECNOLOGICA AVANZADA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,433,250"
INGENIERIA ENERGETICA Y CONTROL S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,274,000"
"ESPECIALISTAS EN TURBOPARTES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,594,125"
WINTER WEB INTERNET AND NETWORK TECNOLOGY FOR ENTERPRISE RESOURCES SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,738,836"
PARQUE ENOLOGICO PUERTA DEL LOBO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,555,000"
INNOVATOOL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,968,365"
"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,904,052"
"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,799,830"
GATE GOURMET & MAASA MEXICO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"17,978,110"
BIOGENERADORES DE MEXICO S.P.R. DE R.L.,Programa de Estímulos a la Innovación (PEI),"2,660,665"
HIDROPONICOS LUZA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"8,774,196"
INDUSTRIA PARRALENSE DE AUTOPARTES S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"12,964,838"
GRAFICOS Y CORRUGADOS DE PARRAL S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"9,907,361"
DESHIDRATADORA MARATA SPR DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"5,629,600"
SIGNA S. A. DE C. V.,Programa de Estímulos a la Innovación (PEI),"14,789,916"
"CIDAT, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"1,423,000"
MAQUINADOS Y RECTIFICADOS TELESIS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,827,418"
INTERLATIN S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"6,532,200"
RICAP S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"972,375"
INDUSTRIAL FINHOR S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,953,238"
KIORU SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,009,460"
SYE SOFTWARE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,545,822"
"DELPHI AUTOMOTIVE SYSTEMS, S. DE R.L DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,893,311"
"PROLEC GE INTERNACIONAL, S DE RL DE CV",Programa de Estímulos a la Innovación (PEI),"1,714,507"
OBRATEC S.A. DE  C.V.,Programa de Estímulos a la Innovación (PEI),"3,440,000"
DIASET S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"10,889,162"
DIASET S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,927,501"
"TECNOCIENCIAS APLICADAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"10,900,000"
"PROBIOMED, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"13,470,256"
GRUPO INDUSTRIAL BLOMER S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"10,171,355"
"MAQUINADOS EXPRESS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,471,709"
"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,143,658"
LABORATORIOS SOPHIA SA DE CV,Programa de Estímulos a la Innovación (PEI),"217,946"
GIS TECNOLOGIAS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"4,885,708"
