Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado (pesos)
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/CENTRO DE CIENCIAS APLICADAS Y DESARROLLO TECNOLOGICO ,FUSION MULTIMODAL DE IMAGENES MEDICAS 2D Y 3D PARA INTERVENCIONES MEDICAS PERCUTANEAS,SERVICIOS EDUCATIVOS,42000.00
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,HIDROGELES INTELIGENTES NANOESTRUCTURADOS PARA EL SUMINISTRO CONTROLADO DE FÁRMACOS,SERVICIOS EDUCATIVOS,2248198.50
INSTITUTO DE INVESTIGACIONES ELÉCTRICAS,NANOTECNOLOGÍA APLICADA A ENSAMBLES MEMBRANA-ELECTRODOS PARA CELDAS DE COMBUSTIBLE MEJORADAS,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,2233125.00
CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS SC,NANOPARTICULAS Y MEDIO AMBIENTE: IMPACTO DE LAS NANOPARTÍCULAS EN MUESTRAS AMBIENTALES,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,2430000.00
CENTRO DE INVESTIGACION CIENTIFICA DE YUCATAN AC,AUTO-SENSADO DE DAÑO EN MATERIALES COMPUESTOS MULTIESCALA DE MATRIZ TERMOPLÁSTICA REFORZADA CON FIBRA DE ARAMIDA Y NANOTUBOS DE CARBONO,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,1299800.00
UNIVERSIDAD AUTONOMA DE CAMPECHE.,EFECTO DEL TRATAMIENTO TÉRMICO EN EL COMPORTAMIENTO ELECTROQUÍMICO DE LOS RECUBRIMIENTOS NI-P Y NI-B EN DIFERENTES SUSTRATOS,SERVICIOS EDUCATIVOS,53200.00
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITÉCNICO NACIONAL,COMMUTATIVE ALGEBRAS GENERATED BY TOEPLITZ OPERATORS - GELFAND THEORY AND SPECTRAL PROPERTIES,SERVICIOS EDUCATIVOS,68000.00
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,TRÁFICO VESICULAR Y MOLÉCULAS DE SEÑALIZACIÓN QUE CONTROLAN LA SECRECIÓN DE MEDIADORES INFLAMATORIOS EN LAS CÉLULAS CEBADAS,SERVICIOS EDUCATIVOS,3757000.00
CENTRO DE INVESTIGACION CIENTIFICA DE YUCATAN AC,PREPARACIÓN Y CARACTERIZACIÓN DE CEMENTOS ÓSEOS ACRÍLICOS PARA USAR EN TÉCNICAS DE REGENERACIÓN ÓSEA,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,108000.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / FACULTAD DE MEDICINA,MECANISMOS MOLECULARES DE LA TERMOSESIBILIDAD EN CANALES TRP,SERVICIOS EDUCATIVOS,54000.00
INSTITUTO POLITECNICO NACIONAL,PREPARACIÓN Y ESTUDIO DE NANOESTRUCTURAS MAGNÉTICAS PARA APLICACIONES TECNOLÓGICAS,SERVICIOS EDUCATIVOS,140000.00
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CARACTERIZACIÓN DE UNA NUEVA VÍA REGULADORA DE LA PRESIÓN ARTERIAL A TRAVÉS DEL TRANSPORTE RENAL DE IONES,SERVICIOS EDUCATIVOS,2000000.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE INGENIERÍA,CONTROL AUTOMÁTICO DE PROCESOS DE PRODUCCIÓN ANAEROBIA DE BIO-HIDRÓGENO,SERVICIOS EDUCATIVOS,83600.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE ASTRONOMÍA,FOTOMETRÍA CCD DE CÚMULOS GLOBULARES. ASTROMETRÍA Y POBLACIÓN DE ESTRELLAS VARIABLES COMO INDICADORES DE PARÁMETROS FÍSICOS,SERVICIOS EDUCATIVOS,109200.00
UNIVERSIDAD DE GUANAJUATO,BIOPROSPECCIÓN DE SULFATO-REDUCTORES Y METAL-REDUCTORES DE MEDIO ÁCIDOS Y ALCALINOS: APLICACIÓN BIOTECNOLÓGICA PARA TRATAMIENTO DE EFLUENTES CONTAMINADOS POR METALES Y METALOIDES,SERVICIOS EDUCATIVOS,3387800.00
UNIVERSIDAD AUTONOMA DE NUEVO LEON,"COOPERACIÓN BILATERAL PARA EL ESTUDIO DE LA CADENA DE SUMINISTRO DE LA CARNE ROJA Y EL APOYO A SU TOMA DE DECISIÓN, MEDIANTE EL EMPLEO DE LA INVESTIGACIÓN DE OPERACIONES.",SERVICIOS EDUCATIVOS,130000.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGÍA,EFECTOS COMBINADOS DE LA RADIACIÓN ULTRAVIOLETA Y DE LA MEZCLA VERTICAL EN EL FITOPLANCTON DE ZONAS COSTERAS TEMPLADAS Y TROPICALES,SERVICIOS EDUCATIVOS,165000.00
CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISEÑO DEL ESTADO DE JALISCO AC,PRODUCCIÓN DE PRINCIPIOS ACTIVOS DE ALTO VALOR AGREGADO A PARTIR DE HONGOS MEDICINALES Y EVALUACIÓN DE SU APLICABILIDAD EN EL SECTOR ALIMENTARIO Y FARMACÉUTICO,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,6141000.00
UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,INTERCAMBIO ACADÉMICO,SERVICIOS EDUCATIVOS,46000.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / CENTRO DE CIENCIAS GENÓMICAS,INFLUENCIA DEL ENTORNO GENÓMICO SOBRE LA TRANSFERENCIA HORIZONTAL DE GENES ENTRE RIZOBIOS NODULADORES DE LEGUMINOSAS,SERVICIOS EDUCATIVOS,140000.00
UNIVERSIDAD IBEROAMERICANA AC,"JUVENTUD, TECNOLOGÍAS Y MOVIMIENTOS SOCIALES: DISPUTAS POR LA VISIBILIDAD EN EL ESPACIO PÚBLICO. ESTUDIOS DE CASO EN CHILE Y MÉXICO",SERVICIOS EDUCATIVOS,177600.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE BIOTECNOLOGÍA,A DUAL APPROACH TOWARDS THE IDENTIFICATION OF VACUOLAR PROTEINS IMPORTANT FOR PLANT SALT TOLERANCE BY EMPLOYING CROP PLANTS AND MODEL SALT TOLERANT PLANTS,SERVICIOS EDUCATIVOS,408000.00
UNIVERSIDAD DE GUADALAJARA,DESARROLLO DE TRATAMIENTOS SUPERFICIALES DE ALEACIONES BIOMÉDICAS IMPLANTABLES,SERVICIOS EDUCATIVOS,4600000.00
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,DESARROLLO DE REDES EN FRECUENCIA ÚNICA PARA TELEVISIÓN DIGITAL ATSC,SERVICIOS EDUCATIVOS,7740440.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / FACULTAD DE QUÍMICA,MODIFICACIONES POST-TRADUCCIONALES OXIDATIVAS Y NITROSATIVAS DE CICLINAS D: POSIBLE MECANISMO DE RESPUESTA A CONDICIONES AMBIENTALES ADVERSAS,SERVICIOS EDUCATIVOS,140000.00
CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO AC,"ESTUDIO DE LA RESPUESTA DETOXIFICANTE EN INVERTEBRADOS: LITOPENAEUS VANNAMEI, PALAEMONETES ARGENTINUS. Y POLYBETES PITAGORICUS",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,126000.00
"CONSTRUCTORA TRAX, S.A. DE C.V.",E2S CONTROL: TECNOLOGÍA INALÁMBRICA ORIENTADA A MEJORAR LA EFICIENCIA ENERGÉTICA Y LA SEGURIDAD Y SALUD EN MINERÍA Y EXCAVACIONES EN CONSTRUCCIÓN DE INFRAESTRUCTURAS,INDUSTRIA MANUFACTURERA MAQUINARIA EQUIPO,11349954.00
UNIVERSIDAD AUTONOMA DE NUEVO LEON,DETECCIÓN Y LOCALIZACIÓN DE DESCARGAS PARCIALES EN TRANSFORMADORES DE POTENCIA,SERVICIOS EDUCATIVOS,117000.00
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,DESARROLLO DE UNA INFRAESTRUCTURA PILOTO DE RED DE TRANSPORTE ÓPTICA PARA SOPORTE DE SERVICIOS MÓVILES DE CUARTA GENERACIÓN LTE (RADIOPTIC4G),SERVICIOS EDUCATIVOS,3423500.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE INVESTIGACIONES EN MATERIALES,"SÍNTESIS Y CARACTERIZACIÓN DE PELÍCULAS DELGADAS DE NANOCOMPÓSITOS DE NANOPARTÍCULAS (AG, BI, FE, AGOX, FEOX, AGSX, BISX O FESX) EN UNA MATRIZ POLIMÉRICA.",SERVICIOS EDUCATIVOS,54000.00
UNIVERSIDAD DE SONORA,ESTUDIO DE LA COALESCENCIA DE EMULSIONES Y ESPUMAS MEDIANTE TÉCNICAS MICROFLUÍDICAS,SERVICIOS EDUCATIVOS,79500.00
INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY / CAMPUS MONTERREY,CONTROL TOLERANTE A FALLAS PARA LOS VEHÍCULOS AUTOMOTRICES INTELIGENTES,SERVICIOS EDUCATIVOS,222000.00
INSTITUTO MEXICANO DEL SEGURO SOCIAL,EVALUACIÓN DE LOS EFECTOS DEL PROPILPARABENO EN EL STATUS EPILEPTICUS Y DAÑO NEURONAL INDUCIDO POR EL MODELO DE LITIO-PILOCARPINA,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,70000.00
ITECH ECOENERGÍAS S.A. DE C.V.,PROCESOS ECOLÓGICOS PARA RECUBRIMIENTO DE MATERIALES METÁLICOS,ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,9532500.00
"TUPY MÉXICO SALTILLO, S.A. DE C.V.",DESARROLLO DEL PROCESO TECNOLÓGICO DE MANUFACTURA AVANZADA DE UN MONOBLOCK DE HIERRO DE PARED MUY DELGADA,INDUSTRIA MANUFACTURERA MAQUINARIA EQUIPO,8714000.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE FÍSICA,"MARKOVIANIDAD, NO MARKOVIANIDAD Y CAOS EN SISTEMAS CUÁNTICOS.",SERVICIOS EDUCATIVOS,53600.00
"CENTRO DE INVESTIGACION EN QUIMICA APLICADA, A.C.",OBTENCIÓN DE NANOCOMPUESTOS POLIMÉRICOS CON PROPIEDADES DE PROTECCIÓN UV APLICANDO TECNOLOGÍAS SUSTENTABLES,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,114400.00
