Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado MXN 
Instituto Nacional de Salud Pública,"EVALUACIÓN DE
REPELENTES ESPACIALES Y SUS SISTEMAS DE LIBERACIÓN PARA EL MANTENIMIENTO DE ÁREAS LIBRES DE MOSQUITOS VECTORES DE DENGUE, FIEBRE CHIKUNGUNYA Y ZIKA EN MÉXICO","Servicios Profesionales, Cientificos Y Tecnicos","2,000,000.00"
Universidad Autónoma de Baja California,DESARROLLO DE UN SISTEMA DE DETECCIÓN DE RICKETTSIA RICKETTSII BASADO EN APTÁMEROS DE ARN,Servicios Educativos,"1,500,000.00"
Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco A.C. (CIATEJ),SISTEMA PARA LA INTELIGENCIA TERRITORIAL TECNOLÓGICA Y COMPETITIVA DE LOS ALIMENTOS Y LA ALIMENTACIÓN (SITTC DE LOS ALIMENTOS Y LA ALIMENTACIÓN),"Servicios Profesionales, Cientificos Y Tecnicos","3,876,228.00"
Instituto Politécnico Nacional,"POLÍTICAS PÚBLICAS
PARA ENFRENTAR LA POBREZA EXTREMA MEDIANTE LA DISMINUCIÓN DE PÉRDIDAS DE ALIMENTOS EN MÉXICO",Servicios Educativos,"2,000,000.00"
Universidad del Papaloapan,MOLIENDA MECÁNICA DE ALTA ENERGÍA PARA LA OBTENCIÓN DE AZÚCARES REDUCTORES DE FUENTES NO CONVENCIONALES PARA LA PRODUCCIÓN DE BIOHIDRÓGENO POR FERMENTACIÓN OSCURA,Servicios Educativos,"1,500,000.00"
Universidad Autónoma de Baja California,"MODELO INTEGRAL DE COMBATE A LA POBREZA E INSEGURIDAD ALIMENTARIA PARA COMUNIDADES EN SITUACIÓN DE VULNERABILIDAD DE TIJUANA, BAJA CALIFORNIA",Servicios Educativos,"3,901,000.00"
Instituto Politécnico Nacional,VALORACIÓN DE LA CONDICIÓN DE SALUD DE CUERPOS DE AGUA EN ÁREAS NATURALES PROTEGIDAS A TRAVÉS DEL MONITOREO BIOLÓGICO CON FINES DE CONSERVACIÓN Y GESTIÓN DEL RECURSO HÍDRICO,Servicios Educativos,"2,000,000.00"
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubiran,Progama de becas,Servicios Educativos,"7,000,000.00"
Universidad Autónoma de la Ciudad de México,"La Migración irregular en Tránsito por México: Marco Institucional, Gestión Organizacional y Prácticas Migratorias.",Servicios Educativos,"349,202.00"
Centro de Investigación Científica de Yucatán A.C. (CICY),"Diseño, Construcción e Implementación de un Vehículo Submarino Autónomo Alimentado Por Energías Renovables, Para La Localización, Cuantificación Y Monitoreo Del Pez León, Especie Invasora En El Caribe","Servicios Profesionales, Cientificos Y Tecnicos","3,880,000.00"
Instituto de Ecología A.C. (INECOL),Comunicacion Quimica Planta-Bacteria Y Su Impacto En La Producción Agrícola,"Servicios Profesionales, Cientificos Y Tecnicos","1,500,000.00"
Instituto Nacional de Salud Pública,"Epidemiología Molecular, Farmacorresistencia Y Susceptibilidad Genética De La Tuberculosis En La Zona Huichol En Jalisco, México","Servicios Profesionales, Cientificos Y Tecnicos","3,999,790.00"
Universidad Autónoma del Estado de Morelos,"Conflictos Entre Conservación De La Vida Silvestre Y Las Comunidades Rurales De La Reserva De La Biósfera Sierra De Huautla, Morelos.",Servicios Educativos,"608,800.00"
Universidad Autónoma de Yucatán,Estudio Y Diagnóstico De La Infección Experimental Con Trypanosoma Cruzi Mediante La Aplicación De Técnicas Innovadoras No Invasivas Basadas En Ultrasonido.,Servicios Educativos,"3,992,000.00"
Universidad Autónoma de Chihuahua,Utilizacion Del Ultrasonido De Potencia Como Tecnología Emergente Para Atender Problemas De Calidad De La Carne,Servicios Educativos,"4,000,000.00"
Colegio de Postgraduados,Análisis Transcriptómico De La Microbiota Ruminal De Bovinos Alimentados Con Forrajes Tropicales Y Su Correlación Con La Producción De Gases De Efecto Invernadero,"Servicios Profesionales, Cientificos Y Tecnicos","1,011,000.00"
Universidad Autónoma del Estado de Morelos,Preparación De Nuevos Agentes Antitumorales Más Selectivos A Través De Procesos Sostenibles.,Servicios Educativos,"945,000.00"
Instituto Mexicano de Tecnología del Agua,Desalinización De Agua Subterránea Salobre Mediante Energía Solar Para Aplicaciones De Riego Agrícola En Zonas Rurales,"Servicios Profesionales, Cientificos Y Tecnicos","1,190,000.00"
Centro de Investigaciones Biológicas del Noreste S.C. (CIBNOR),Desarrollo Y Validación De Alimentos Funcionales Para El Control De Enfermedades En El Camarón Litopenaeus Vannamei,"Servicios Profesionales, Cientificos Y Tecnicos","1,104,000.00"
Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco A.C. (CIATEJ),"Producción Y Aprovechamiento Del Café. Prospección Sistémica De La Cadena De Valor En Los Estados De Chiapas, Oaxaca Y Guerrero.","Servicios Profesionales, Cientificos Y Tecnicos","1,205,000.00"
Centro de Investigación en Materiales Avanzados S.C. (CIMAV),Establecimiento De Estrategias Pasivas Selectivas En Vivienda De Interés Social Para Ciudades Con Clima Templado Seco,Ninguna,"767,000.00"
Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco A.C. (CIATEJ),"Protección, Sustentabilidad Y Aprovechamiento Del Ecosistema En La Biodiversidad Del Agave: La Cadena Productiva Del Mezcal En Los Estados De Guerrero Y Oaxaca","Servicios Profesionales, Cientificos Y Tecnicos","1,500,000.00"
Instituto Nacional de Cardiología Ignacio Chávez,Evaluación Del Control Cardiovascular Empleando Análisis Tiempo-Frecuencia Del Intervalo Inter Latidos Y De La Tensión Arterial Para La Detección Temprana De Los Periodos De Hipotensión En Pacientes Con Insuficiencia Renal Crónica,Servicios De Salud Y De Asistencia Social,"1,367,280.00"
Universidad del Mar,"Evaluación Del Potencial De Las Técnicas De Secuenciación Masiva, Adn Ambiental Y Código De Barras Genético Para La Descripción De La Biodiversidad Bentónica De Los Ecosistemas Marinos Y Costeros De Oaxaca",Servicios Educativos,"1,252,000.00"
Centro de Investigaciones en Óptica A.C. (CIO),Diseño Y Construcción De Potabilizador Integral Solar De Agua Para Comunidades Rurales,"Servicios Profesionales, Cientificos Y Tecnicos","3,979,347.00"
Centro de Investigación y Docencia Económicas A.C. (CIDE),Entendiendo Y Resolviendo Conflictos Por El Agua En México: Elementos De Gobernanza Y Propuestas De Política Pública,Servicios Educativos,"4,000,000.00"
Centro de Investigaciones Biológicas del Noreste S.C. (CIBNOR),"Un Nuevo Enfoque Para La Recuperación, Inspección Y Vigilancia De Recursos Sobreexplotados De Alto Valor Comercial, Caso De Estudio: La Pesquería De Abulón","Servicios Profesionales, Cientificos Y Tecnicos","1,499,400.00"
Universidad Autónoma de Chihuahua,Desarrollo De Tecnología Innovadora En La Disposición De Residuo Plástico,Servicios Educativos,"1,500,000.00"
Instituto Tecnológico de Tijuana,Biomateriales Producidos a partir de Polímeros Naturales para Tratamiento Regenerativo de Úlceras del Pie Diabético.,Servicios Educativos,"2,000,000.00"
Instituto Tecnológico de Tijuana,Aplicación y Desarrollo de Materiales Nanoestructurados para el Aprovechamiento de la Energia Solar Mediante la Generación de Celdas Solares de Baja Potencia Sensibilizadas con Colorantes Orgánicos y Organometálicos,Servicios Educativos,"1,500,000.00"
Universidad Nacional Autónoma de México - Centro de Geociencias,Monitoreo de la Sismicidad Relaciona con la Actividad del Volcán Ceborucocolorantes Orgánicos y Organometálicos,Servicios Educativos,"1,500,000.00"
El Colegio de la Frontera Norte A.C. (COLEF),Espacios Públicos y Actividad Física en Ciudades del Norte de México,Servicios Educativos,"2,224,790.00"
Universidad Juárez Autónoma de Tabasco,Planta Solar Prototipo para la Producción Fotoasistida de Hidrógeno Empleando Nanoestructuras Modificadas de WO3 Soportadas en Carbono,Servicios Educativos,"1,500,000.00"
Universidad de Colima,Ingeniería de Plantas: Diseño de Plantas Resistentes a los Begomovirus de Mayor Importancia en México Basado en Micrornas.,Servicios Educativos,"1,500,000.00"
El Colegio de México A.C.,La Competitividad de las Ciudades en el Desarrollo de México,"Servicios Profesionales, Cientificos Y Tecnicos","1,482,000.00"
Universidad Iberoamericana A.C.,Pobreza Urbana: una Nueva Visión Multidimensional,Servicios Educativos,"3,340,000.00"
Universidad Autónoma de Chapingo,Prototipos Regionales para la Seguridad y la Soberania Alimentaria y el Combate a la Pobreza. un Enfoque Territorial.,Servicios Educativos,"3,874,000.00"
Instituto Tecnológico de Sonora,Optimización de Sinergias entre Celdas Solares Fotovoltaicas y Membranas de Ósmosis Inversa para la Desalinización de Aguas Marinas y Salobres,"Servicios Profesionales, Cientificos Y Tecnicos","1,497,612.00"
Centro de Investigación Científica y de Educación Superior de Ensenada B.C. (CICESE),Desarrollo e Implementación de Captadores de Niebla Bioinspirados en la Península de Baja California.,Servicios Educativos,"1,427,000.00"
Universidad Michoacana de San Nicolás de Hidalgo,Crimen Organizado y Debilidad Institucional en Michoacàn.,Servicios Educativos,"340,000.00"
Universidad Autónoma de Chihuahua,Utilización de Zeolitas Naturales Mexicanas para la Remoción de Contaminantes en Agua.,Servicios Educativos,"3,545,000.00"
Instituto Tecnológico de Tizimín,Estudio Multidisciplinario para el Uso Sustentable de Limulus Polyphemus en la Península de Yucatán.,"Servicios Profesionales, Cientificos Y Tecnicos","3,749,000.00"
Universidad Michoacana de San Nicolás de Hidalgo,Genética del Paisaje y Estructura Genética de Vertebrados Endémicos del Bosque Tropical Caducifolio: Implicaciones para su Conservación.,Servicios Educativos,"1,500,000.00"
Instituto Tecnológico de Chetumal,Evaluación del Efecto de la Forma Urbana sobre el Consumo de Recursos y sus Impactos Ambientales y Económicos.,Servicios Educativos,"1,090,000.00"
Universidad Michoacana de San Nicolás de Hidalgo,Aprovechamiento  de  Pozos  Petroleros Abandonados/Inoperantes como Fuente Sustentable de Energía para Sistemas Híbridos Geotermia/Concentrador Solar,Servicios Educativos,"1,500,000.00"
Instituto Tecnológico de Tepic,Aplicación de Recubrimientos Adicionados de Agentes de Biocontrol a Frutos Tropicales para el Control de Enfermedades Postcosecha.,Servicios Educativos,"1,960,000.00"
Instituto Politécnico Nacional,"Alimentos y Productos de Maíz y Frijol Pigmentados con Alto Valor 
Nutricionl para Comunidades Oaxaqueñade Alta Marginación.",Servicios Educativos,"3,656,688.00"
Universidad Michoacana de San Nicolás de Hidalgo,Desarrollo Local y Seguridad Alimentaria a Través del Metabolismo Social de Productos Básicos Agroalimentarios y Pesqueros en Michoacán.,Servicios Educativos,"1,430,000.00"
